book_id,title,author_id,categories,published_date,price,stock_quantity
1,User-friendly cohesive parallelism,26,Romance,7/5/2020,18.09,28
2,Quality-focused clear-thinking support,143,Romance,5/13/2019,10.5,94
3,Progressive stable productivity,559,Fiction,11/7/2023,31.97,4
4,Stand-alone static help-desk,31,Fiction,4/21/2015,15.61,64
5,Vision-oriented scalable analyzer,617,Fiction,11/26/2021,30.68,91
6,Enterprise-wide mobile array,666,Romance,6/8/2016,29.97,28
7,Re-engineered executive software,460,Mystery,7/23/2019,18.23,0
8,Centralized content-based encoding,778,Non-Fiction,11/12/2017,36.71,43
9,Down-sized 24/7 task-force,285,Non-Fiction,5/28/2019,15.46,97
10,Up-sized executive benchmark,345,Fiction,11/9/2016,10.07,12
11,Streamlined hybrid leverage,368,Science Fiction,7/18/2020,32.55,5
12,Profit-focused national function,748,Fantasy,1/21/2018,29.58,48
13,Multi-layered next generation task-force,81,Mystery,7/1/2016,18.89,80
14,Face-to-face upward-trending info-mediaries,634,Science Fiction,4/10/2022,31.39,90
15,User-centric dedicated attitude,72,Fiction,3/10/2015,35.09,98
16,Future-proofed holistic intranet,297,Fiction,9/9/2022,43.62,12
17,Reduced logistical protocol,390,Science Fiction,12/17/2014,25.94,46
18,Assimilated scalable encryption,167,Science Fiction,8/19/2017,21.62,85
19,Synchronized executive conglomeration,274,Romance,1/20/2022,47.2,82
20,Cross-group upward-trending analyzer,74,Mystery,7/8/2017,33.93,68
21,Adaptive asynchronous capability,747,Non-Fiction,2/19/2018,13.18,48
22,Function-based non-volatile algorithm,277,Romance,10/14/2018,36.27,28
23,Diverse local website,702,Science Fiction,9/15/2015,43.08,99
24,Virtual incremental process improvement,58,Non-Fiction,4/5/2022,42.15,40
25,Advanced local workforce,411,Science Fiction,3/28/2020,8.9,72
26,Total zero administration firmware,736,Science Fiction,3/3/2023,15.35,63
27,Optimized incremental database,406,Romance,8/24/2017,26.18,33
28,Compatible radical moratorium,143,Non-Fiction,1/24/2015,38.77,68
29,Extended high-level methodology,270,Romance,9/30/2017,31.71,74
30,Inverse bottom-line hub,409,Science Fiction,3/14/2020,15.64,17
31,Right-sized object-oriented methodology,522,Fantasy,9/23/2023,9.99,6
32,Horizontal global encoding,113,Non-Fiction,7/2/2019,33.6,87
33,Persistent transitional protocol,433,Mystery,3/3/2019,8.79,48
34,Open-architected logistical Internet solution,611,Fantasy,11/10/2019,29.27,70
35,De-engineered 24/7 customer loyalty,12,Romance,5/21/2020,37.7,87
36,Horizontal intangible approach,550,Science Fiction,10/14/2017,39.81,43
37,Total human-resource website,115,Science Fiction,9/9/2015,25.12,58
38,Vision-oriented maximized portal,4,Romance,4/6/2016,44.53,33
39,Future-proofed motivating productivity,513,Non-Fiction,4/3/2017,28.33,13
40,Devolved value-added info-mediaries,641,Science Fiction,9/10/2023,43.02,64
41,Balanced holistic policy,624,Non-Fiction,8/29/2016,12.71,97
42,Proactive scalable policy,166,Mystery,5/27/2015,47.94,67
43,Focused bandwidth-monitored frame,1,Mystery,7/3/2019,20.25,2
44,Business-focused next generation infrastructure,115,Science Fiction,8/5/2017,44.65,39
45,Object-based exuding function,246,Fiction,6/22/2015,16.59,72
46,Progressive leadingedge frame,81,Fiction,1/2/2020,38.19,8
47,Pre-emptive asymmetric matrices,779,Mystery,5/23/2018,39.69,16
48,Enhanced content-based emulation,676,Fantasy,6/7/2022,47.65,21
49,Centralized system-worthy structure,272,Mystery,12/15/2020,44.38,54
50,Compatible 24/7 service-desk,217,Mystery,6/16/2022,39.22,88
51,Ergonomic object-oriented methodology,206,Romance,3/12/2016,19.71,85
52,Polarized client-driven monitoring,666,Science Fiction,7/4/2019,25.27,66
53,Programmable didactic initiative,463,Fiction,1/1/2016,16.9,8
54,Advanced systemic collaboration,347,Fiction,12/15/2018,31.88,29
55,Phased multi-tasking moderator,603,Non-Fiction,6/27/2023,6.31,90
56,Horizontal maximized ability,647,Fiction,2/23/2016,16.06,4
57,Inverse reciprocal initiative,339,Fiction,11/11/2020,28.61,35
58,Monitored eco-centric paradigm,686,Fantasy,2/11/2019,15.42,16
59,Expanded composite strategy,741,Mystery,4/30/2015,31.34,31
60,Devolved zero administration synergy,804,Fantasy,8/2/2024,41.52,24
61,Centralized value-added secured line,97,Fiction,4/19/2019,34.99,45
62,Optional bifurcated analyzer,434,Fantasy,9/28/2023,26.54,93
63,Self-enabling multi-state contingency,56,Romance,3/11/2019,34.74,82
64,Ergonomic high-level standardization,101,Fiction,4/18/2017,23.71,43
65,Right-sized clear-thinking matrix,820,Fiction,12/25/2019,16.93,24
66,Polarized motivating protocol,550,Fantasy,2/18/2020,12.16,23
67,Function-based logistical open architecture,286,Fantasy,8/11/2022,16.98,9
68,Multi-tiered bottom-line approach,454,Mystery,1/19/2018,10.3,83
69,Operative web-enabled productivity,554,Fiction,10/1/2018,48.63,96
70,Advanced bifurcated product,243,Non-Fiction,5/2/2022,23.87,61
71,Multi-tiered clear-thinking orchestration,219,Fantasy,5/24/2015,45.7,21
72,Devolved clear-thinking product,389,Fiction,3/27/2015,49.34,33
73,Extended dynamic Local Area Network,803,Fantasy,5/13/2024,18.54,89
74,Focused well-modulated approach,749,Mystery,10/25/2022,35.11,62
75,Versatile client-server software,159,Non-Fiction,8/13/2020,19.05,7
76,Open-architected value-added circuit,594,Romance,9/15/2021,29.85,95
77,Re-contextualized even-keeled leverage,322,Fiction,6/4/2017,8.2,61
78,Seamless tangible capacity,515,Mystery,8/30/2019,12.92,65
79,Multi-lateral heuristic hub,83,Non-Fiction,5/25/2019,9,8
80,Profound client-driven project,692,Non-Fiction,4/9/2022,23.76,72
81,Grass-roots national benchmark,253,Mystery,12/18/2022,32.15,79
82,Compatible homogeneous standardization,84,Fantasy,2/20/2021,34.91,72
83,Managed dedicated standardization,536,Science Fiction,12/7/2016,47.12,26
84,Cross-group solution-oriented architecture,686,Romance,6/24/2022,19.81,33
85,Upgradable modular moratorium,406,Non-Fiction,9/17/2017,35.54,38
86,Focused next generation policy,469,Science Fiction,1/25/2015,46.87,9
87,Quality-focused reciprocal support,10,Fantasy,1/21/2023,33.32,72
88,Front-line client-driven interface,103,Fiction,12/15/2015,29.65,64
89,Synchronized system-worthy orchestration,272,Non-Fiction,12/27/2020,47.05,8
90,Assimilated hybrid encryption,251,Science Fiction,9/28/2022,18.53,56
91,Quality-focused secondary circuit,557,Romance,5/27/2023,19.3,83
92,Horizontal incremental definition,542,Fiction,6/8/2016,35.38,70
93,Optional scalable orchestration,307,Romance,11/10/2021,10.55,17
94,Devolved next generation capacity,271,Fiction,2/8/2019,45.14,95
95,Public-key stable workforce,567,Non-Fiction,1/14/2024,17.97,77
96,Visionary non-volatile benchmark,216,Romance,1/22/2023,21.08,87
97,Sharable 3rdgeneration moderator,650,Science Fiction,8/12/2021,28.23,32
98,Assimilated web-enabled benchmark,53,Fiction,11/14/2016,33.9,35
99,Open-source asynchronous array,46,Fiction,10/22/2020,20.67,16
100,Object-based heuristic matrix,653,Science Fiction,3/18/2018,13.1,56
101,Networked modular Graphic Interface,565,Romance,10/1/2021,24.81,1
102,Enterprise-wide grid-enabled interface,115,Fiction,4/13/2021,47.57,88
